name,overall_score
0_10mm.JPG,2
0_20mm.JPG,0
0_30mm.JPG,0
10_10mm.JPG,2
10_20mm.JPG,0
10_30mm.JPG,1
10mm-low.JPG,2
10mm.JPG,2
11_10mm_low.JPG,2
11_20mm_low.JPG,1
11_30mm_low.JPG,1
12_10mm.JPG,1
12_20mm.JPG,0
12_30mm.JPG,1
13_10mm_low.JPG,2
13_20mm_low.JPG,1
13_30mm_low.JPG,1
14_10mm.JPG,2
15_10mm.JPG,2
16_30mm.JPG,1
17_10mm.JPG,2
17_20mm.JPG,0
17_30mm.JPG,1
18_10mm_low.JPG,2
18_20mm_low.JPG,1
18_30mm_low.JPG,1
1_10mm.JPG,2
1_20mm.JPG,0
1_30mm.JPG,0
20mm.JPG,0
29mm-low.JPG,1
29mm.JPG,0
2_10mm.JPG,2
2_20mm.JPG,0
2_30mm.JPG,0
3_10mm.JPG,2
4_10mm.JPG,1
4_20mm.JPG,1
4_30mm.JPG,1
5_10mm.JPG,2
5_20mm.JPG,1
5_30mm.JPG,1
6_10mm_low.JPG,2
6_20mm_low.JPG,1
6_30mm_low.JPG,1
7_10mm_low.JPG,2
7_20mm_low.JPG,1
7_30mm_low.JPG,2
8_10mm.JPG,2
8_20mm.JPG,0
8_30mm.JPG,1
9_10mm_low.JPG,2
9_20mm_low.JPG,0
9_30mm_low.JPG,1
barrel (1).jpg,1
barrel (1).png,1
barrel (2).jpg,1
chessboard_barrel.jpg,1
